URL	Pret	Model Procesor:	Chipset video:	CPUMark	GPUMark	Capacitate HDD:	Tip unitate stocare:	Memorie standard:	Diagonala LCD	Rezolutie optima:	Greutate (Kg):	Sistem de operare:
http://www.cel.ro/laptop-laptopuri/laptop-alienware-13-i5_4210m-1tb-8gb-gtx860m-2gb-win8-fullhd-l/	5149	intel core i5 4210m 	gtx860m	4216	1583	1000	hdd	8	14	1920 x 1080	2.06 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5558-i5_5200u-1tb-8gb-gt920m-2gb-dvdrw-win10-l/	3249	intel core i5 5200u 	gt920m 	3522	-	1000	hdd	8	15.6	1366 x 768	2 kg	windows 10
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-v5_591g-i7_6700hq-1tbplus8gb-8gb-nvidia-gtx950m-4gb-fullhd-l/	3799	intel core i7 6700hq	gtx 950m	7999	1400	1000	hdd	8	15.6	1920 x 1080	2.4 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-dell-latitude-e5450-i5_5300u-256gb-8gb-gt830m-2gb-fhd-win7-pro-l/	5999	intel core i5 5300u 	intel hd  5500	3803	560	256	ssd	8	14	1920 x 1080	1.81 kg	windows 8 pro
http://www.cel.ro/laptop-laptopuri/laptop-acer-aspire-v5_591g-i7_6700hq-1tb-4gb-nvidia-gtx950m-2gb-hd-l/	3299	intel core i7 6700hq	gtx 950m	7999	1400	1000	hdd	4	15.6	1366 x 768	2.4 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-dell-vostro-3558-dual-core-3805u-500gb-4gb-dvdrw-3ani-garantie-l/	1699	intel pentium  3805u	intel hd 	2015	311	500	hdd	4	15.6	1366 x 768	2.24 kg	linux
http://www.cel.ro/laptop-laptopuri/laptop-hp-elitebook-850-g2-i7_5500u-256gb-8gb-amd-r7m260x-1gb-win7-pro-fhd-fpr-l/	6389	intel core i7 5500u 	r7 m260x	4029	1054	256	ssd	8	15.6	1280 x 800	1.83 kg	windows 8 pro
http://www.cel.ro/laptop-laptopuri/laptop-dell-inspiron-5558-i5_5200u-500gb-4gb-gt920m-2gb-dvd_rw-win8-l/	2699	intel core i5 5200u  	gt920m 	3522	-	500	hdd	4	15.6	1366 x 768	2 kg	windows 8
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-ideapad-z51_70-i7_5500u-1tb-8gb-amd-r9_m375-4gb-fullhd-l/	3599	intel core i7 5500u 	r9 m375	4029	1381	1000	hdd	8	15.6	1920 x 1080	2.3kg	fara sistem
http://www.cel.ro/laptop-laptopuri/laptop-lenovo-ideapad-300_17-i7_6500u-1tb_5400rpm-4gb-r5-m330-2gb-dvdrw-l/	2899	intel core i7 6500u	r5 m330	4336	550	1000	hdd	4	17.3	1600 x 900	3.0 kg	fara sistem
